PW1	PW2	Weight	Nodes	Type
Glycine betaine/proline transport system	Glycine, serine and threonine metabolism PA01	57.0		1.0
Zinc transport system	Macrolide resistance, MacAB-TolC transporter	44.0		1.0
Phosphonate transport system	Phosphonate and phosphinate metabolism PA01	41.0		1.0
Phosphonate transport system	Glycerophospholipid metabolism PA01	32.0		1.0
Phosphonate and phosphinate metabolism PA01	Glycerophospholipid metabolism PA01	31.0		1.0
glycine betaine catabolic process- GO	Glycine, serine and threonine metabolism PA01	31.0		1.0
Phosphate transport system	Phosphonate transport system	30.0		1.0
response to chemical- GO	Putative ABC transport system	30.0		1.0
Phosphate transport system	Phosphonate and phosphinate metabolism PA01	28.0		1.0
Bacterial secretion system PA01	Phosphonate and phosphinate metabolism PA01	22.0		1.0
Iron complex transport system	response to chemical- GO	22.0		1.0
Iron complex transport system	Biosynthesis of siderophore group nonribosomal peptides PA01	21.0		1.0
Ribosome PA01	RNA degradation PA01	21.0		1.0
Bacterial secretion system PA01	Phosphonate transport system	21.0		1.0
Ribosome PA01	Purine metabolism PA01	20.0		1.0
Bacterial secretion system PA01	Phosphate transport system	20.0		1.0
Histidine metabolism PA01	Valine, leucine and isoleucine degradation PA01	20.0		1.0
Iron complex transport system	Macrolide resistance, MacAB-TolC transporter	19.0		1.0
Branched-chain amino acid transport system	Glycine betaine/proline transport system	18.0		1.0
Bacterial secretion system PA01	Type III secretion system	15.375		1.0
protein secretion by the type III secretion system- GO	Type III secretion system	15.375		1.0
Branched-chain amino acid transport system	Glutamate/aspartate transport system	15.0		1.0
Arginine and proline metabolism PA01	Cationic antimicrobial peptide (CAMP) resistance PA01	14.0		1.0
glycine betaine catabolic process- GO	Glycine betaine/proline transport system	13.0		1.0
Phosphate transport system	Glycerophospholipid metabolism PA01	13.0		1.0
Bacterial secretion system PA01	protein secretion by the type III secretion system- GO	12.0769230769		1.0
Glycine betaine/proline transport system	Histidine metabolism PA01	12.0		1.0
Iron complex transport system	Zinc transport system	11.6666666667		1.0
Type VI secretion system	Bacterial secretion system PA01	11.25		1.0
Sulfur metabolism PA01	NitT/TauT family transport system	10.5		1.0
cellular nitrogen compound biosynthetic process- GO	Cyanoamino acid metabolism PA01	10.3		1.0
Iron complex transport system	Iron(III) transport system	10.0		1.0
type IV pilus-dependent motility- GO	type IV pilus biogenesis- GO	10.0		1.0
polysaccharide biosynthetic process- GO	Histidine metabolism PA01	10.0		1.0
Putative polar amino acid transport system	NitT/TauT family transport system	9.5		1.0
Cationic antimicrobial peptide (CAMP) resistance PA01	Phospholipid transport system	9.5		1.0
Valine, leucine and isoleucine degradation PA01	Pyruvate metabolism PA01	9.4		1.0
Histidine metabolism PA01	Tyrosine metabolism PA01	9.0		1.0
Biosynthesis of siderophore group nonribosomal peptides PA01	Iron(III) transport system	9.0		1.0
Porphyrin and chlorophyll metabolism PA01	Spermidine/putrescine transport system	9.0		1.0
type IV pilus-dependent motility- GO	Putative spermidine/putrescine transport system	9.0		1.0
Type III secretion system	type IV pilus-dependent motility- GO	8.5		1.0
Branched-chain amino acid transport system	Glycine, serine and threonine metabolism PA01	8.0		1.0
Sulfur metabolism PA01	D-Methionine transport system	8.0		1.0
Aminobenzoate degradation PA01	Degradation of aromatic compounds PA01	7.76923076923		1.0
Flagellar assembly PA01	Bacterial chemotaxis PA01	7.25		1.0
Nitrogen metabolism PA01	Folate biosynthesis PA01	7.0		1.0
NitT/TauT family transport system	Spermidine/putrescine transport system	7.0		1.0
Valine, leucine and isoleucine degradation PA01	Tyrosine metabolism PA01	6.77777777778		1.0
Iron complex transport system	Putative ABC transport system	6.75		1.0
Putative polar amino acid transport system	Sulfur metabolism PA01	6.5		1.0
Oxidative phosphorylation PA01	Purine metabolism PA01	6.33333333333		1.0
Degradation of aromatic compounds PA01	Type III secretion system	6.33333333333		1.0
Type VI secretion system	cellular nitrogen compound biosynthetic process- GO	6.3		1.0
Degradation of aromatic compounds PA01	protein secretion by the type III secretion system- GO	6.1		1.0
Flagellar assembly PA01	type IV pilus-dependent motility- GO	6.0		1.0
Putative polar amino acid transport system	D-Methionine transport system	6.0		1.0
Branched-chain amino acid transport system	Dipeptide transport system	6.0		1.0
Histidine metabolism PA01	Pyruvate metabolism PA01	6.0		1.0
Bacterial secretion system PA01	Glycerophospholipid metabolism PA01	5.5		1.0
Zinc transport system	Biosynthesis of siderophore group nonribosomal peptides PA01	5.44444444444		1.0
Type VI secretion system	Cyanoamino acid metabolism PA01	5.33333333333		1.0
Branched-chain amino acid transport system	glycine betaine catabolic process- GO	5.28571428571		1.0
NitT/TauT family transport system	D-Methionine transport system	5.0		1.0
Macrolide resistance, MacAB-TolC transporter	Biosynthesis of siderophore group nonribosomal peptides PA01	5.0		1.0
Oxidative phosphorylation PA01	Ribosome PA01	4.8		1.0
Multidrug resistance, efflux pump MexGHI-OpmD	cellular nitrogen compound biosynthetic process- GO	4.70588235294		1.0
Pyruvate metabolism PA01	Tyrosine metabolism PA01	4.6		1.0
Dipeptide transport system	Glyoxylate and dicarboxylate metabolism PA01	4.5		1.0
glycine betaine catabolic process- GO	Putative ABC transport system	4.5		1.0
Branched-chain amino acid transport system	Degradation of aromatic compounds PA01	4.5		1.0
Dipeptide transport system	Valine, leucine and isoleucine degradation PA01	4.5		1.0
Glyoxylate and dicarboxylate metabolism PA01	Valine, leucine and isoleucine degradation PA01	4.41666666667		1.0
Valine, leucine and isoleucine degradation PA01	Bacterial chemotaxis PA01	4.33333333333		1.0
