PW1	PW2	weight	features
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Cationic antimicrobial peptide (CAMP) resistance PA01	132.0	
Ribosome, bacteria	Ribosome PA01	103.0	
Aminobenzoate degradation PA01	Benzoate degradation PA01	69.0	
Ribosome, bacteria	Oxidative phosphorylation PA01	58.0	
Cyanoamino acid metabolism PA01	Type VI secretion system	52.0	
Glycine, serine and threonine metabolism PA01	Glycine betaine/proline transport system	45.0	
Zinc transport system	Macrolide resistance, MacAB-TolC transporter	43.0	
Ribosome PA01	Oxidative phosphorylation PA01	43.0	
Zinc transport system	Iron complex transport system	41.0	
Aminobenzoate degradation PA01	Valine, leucine and isoleucine degradation PA01	40.0	
Zinc transport system	Biosynthesis of siderophore group nonribosomal peptides PA01	39.0	
Tyrosine metabolism PA01	Type III secretion system	38.0	
Biosynthesis of siderophore group nonribosomal peptides PA01	Iron complex transport system	37.0	
Glycine, serine and threonine metabolism PA01	Methane metabolism PA01	36.0	
Valine, leucine and isoleucine degradation PA01	Tyrosine metabolism PA01	32.6666666667	
Aminobenzoate degradation PA01	Degradation of aromatic compounds PA01	31.0	
Aminobenzoate degradation PA01	Cationic antimicrobial peptide (CAMP) resistance PA01	30.0	
Sulfur metabolism PA01	Putative polar amino acid transport system	29.5	
Valine, leucine and isoleucine degradation PA01	Glyoxylate and dicarboxylate metabolism PA01	29.0	
Methane metabolism PA01	Glycine betaine/proline transport system	28.0	
Phosphonate transport system	Phosphonate and phosphinate metabolism PA01	27.0	
Ribosome PA01	Citrate cycle (TCA cycle, Krebs cycle)	26.0	
Ribosome, bacteria	Citrate cycle (TCA cycle, Krebs cycle)	26.0	
Ribosome, bacteria	Citrate cycle (TCA cycle) PA01	24.0	
Valine, leucine and isoleucine degradation PA01	Bacterial chemotaxis PA01	24.0	
Tyrosine metabolism PA01	Glyoxylate and dicarboxylate metabolism PA01	23.0	
Amino sugar and nucleotide sugar metabolism PA01	Flagellar assembly PA01	23.0	
Cationic antimicrobial peptide (CAMP) resistance PA01	Cysteine and methionine metabolism PA01	22.0	
Ribosome PA01	Citrate cycle (TCA cycle) PA01	21.0	
Biosynthesis of siderophore group nonribosomal peptides PA01	Cyanoamino acid metabolism PA01	21.0	
Nitrogen metabolism PA01	Arginine biosynthesis PA01	20.0	
Phosphonate transport system	Glycerophospholipid metabolism PA01	20.0	
Bacterial chemotaxis PA01	Flagellar assembly PA01	20.0	
Nitrogen metabolism PA01	Denitrification, nitrate => nitrogen	20.0	
Valine, leucine and isoleucine degradation PA01	Styrene degradation PA01	19.0	
Tyrosine metabolism PA01	Branched-chain amino acid transport system	19.0	
Phosphonate and phosphinate metabolism PA01	Type II general secretion pathway	19.0	
Valine, leucine and isoleucine degradation PA01	Arginine biosynthesis PA01	19.0	
Glycine, serine and threonine metabolism PA01	Branched-chain amino acid transport system	18.0	
Phosphonate and phosphinate metabolism PA01	Phosphate transport system	18.0	
Glycerophospholipid metabolism PA01	Phosphonate and phosphinate metabolism PA01	18.0	
Zinc transport system	Aminobenzoate degradation PA01	18.0	
Phosphonate transport system	Phosphate transport system	18.0	
Cyanoamino acid metabolism PA01	Arginine biosynthesis PA01	17.0	
Pentose phosphate pathway PA01	Glycolysis / Gluconeogenesis PA01	17.0	
Aminobenzoate degradation PA01	Styrene degradation PA01	17.0	
Aminobenzoate degradation PA01	Biosynthesis of siderophore group nonribosomal peptides PA01	16.3333333333	
Oxidative phosphorylation PA01	Citrate cycle (TCA cycle, Krebs cycle)	16.0	
Sulfur metabolism PA01	NitT/TauT family transport system	16.0	
Nitrogen metabolism PA01	Cyanoamino acid metabolism PA01	16.0	
