PW1	PW2	weight	features
Cationic antimicrobial peptide (CAMP) resistance PA01	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	138.0	
Ribosome, bacteria	Ribosome PA01	115.0	
Tyrosine metabolism PA01	Valine, leucine and isoleucine degradation PA01	111.0	
Aminobenzoate degradation PA01	Benzoate degradation PA01	79.0	
Ribosome, bacteria	Oxidative phosphorylation PA01	65.0	
Sulfur metabolism PA01	Putative polar amino acid transport system	61.0	
Type VI secretion system	Cyanoamino acid metabolism PA01	59.0	
Valine, leucine and isoleucine degradation PA01	Aminobenzoate degradation PA01	52.0	
Biosynthesis of siderophore group nonribosomal peptides PA01	Aminobenzoate degradation PA01	52.0	
Zinc transport system	Macrolide resistance, MacAB-TolC transporter	49.0	
Glycine, serine and threonine metabolism PA01	Glycine betaine/proline transport system	48.0	
Oxidative phosphorylation PA01	Ribosome PA01	46.0	
Biosynthesis of siderophore group nonribosomal peptides PA01	Zinc transport system	43.0	
Iron complex transport system	Zinc transport system	43.0	
Biosynthesis of siderophore group nonribosomal peptides PA01	Iron complex transport system	40.0	
Tyrosine metabolism PA01	Type III secretion system	38.0	
Glycine, serine and threonine metabolism PA01	Methane metabolism PA01	38.0	
Biosynthesis of siderophore group nonribosomal peptides PA01	Tyrosine metabolism PA01	37.0	
Aminobenzoate degradation PA01	Degradation of aromatic compounds PA01	36.0	
Biosynthesis of siderophore group nonribosomal peptides PA01	Valine, leucine and isoleucine degradation PA01	34.0	
Cationic antimicrobial peptide (CAMP) resistance PA01	Aminobenzoate degradation PA01	33.0	
Valine, leucine and isoleucine degradation PA01	Glyoxylate and dicarboxylate metabolism PA01	32.0	
Biosynthesis of siderophore group nonribosomal peptides PA01	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	31.0	
Phosphonate transport system	Phosphonate and phosphinate metabolism PA01	31.0	
Type VI secretion system	Multidrug resistance, efflux pump MexGHI-OpmD	30.0	
