pw0	pw1	weight	features
HNF3B_PATHWAY	HNF3A_PATHWAY	9.0	41 42 56 73 75 108 147 161 256
INTEGRIN1_PATHWAY	AVB3_INTEGRIN_PATHWAY	9.0	55 60 101 122 132 146 207 223 236
FGF_PATHWAY	WNT_SIGNALING_PATHWAY	8.0	26 71 89 165 207 223 233 261
E2F_PATHWAY	PLK1_PATHWAY	8.0	19 29 39 44 59 114 115 158
E2F_PATHWAY	AURORA_B_PATHWAY	8.0	19 29 39 44 59 114 115 158
PLK1_PATHWAY	AURORA_B_PATHWAY	8.0	19 29 39 44 59 114 115 158
ATR_PATHWAY	PLK1_PATHWAY	7.0	19 29 39 44 115 158 296
FGF_PATHWAY	BETA_CATENIN_NUC_PATHWAY	7.0	62 71 89 97 223 233 261
ATR_PATHWAY	E2F_PATHWAY	7.0	19 29 39 44 78 115 158
WNT_SIGNALING_PATHWAY	BMP_PATHWAY	7.0	89 207 223 233 261 284 290
WNT_SIGNALING_PATHWAY	BETA_CATENIN_NUC_PATHWAY	7.0	49 60 71 89 223 233 261
IL12_2PATHWAY	TCR_PATHWAY	6.0	18 47 117 144 262 270
FOXM1_PATHWAY	ATR_PATHWAY	6.0	19 29 39 44 115 158
FOXM1_PATHWAY	AURORA_B_PATHWAY	6.0	19 29 39 44 115 158
E2F_PATHWAY	FANCONI_PATHWAY	6.0	19 29 39 44 78 115
FOXM1_PATHWAY	PLK1_PATHWAY	6.0	19 29 39 44 115 158
ATR_PATHWAY	FANCONI_PATHWAY	6.0	19 29 39 44 78 115
FOXM1_PATHWAY	E2F_PATHWAY	6.0	19 29 39 44 115 158
CXCR4_PATHWAY	IL12_2PATHWAY	6.0	5 18 47 117 206 270
BCR_5PATHWAY	INTEGRIN2_PATHWAY	6.0	18 117 216 252 262 270
ATR_PATHWAY	AURORA_B_PATHWAY	6.0	19 29 39 44 115 158
IL12_2PATHWAY	IL4_2PATHWAY	5.0	18 47 187 242 262
TOLL_ENDOGENOUS_PATHWAY	INTEGRIN2_PATHWAY	5.0	18 117 191 270 291
TCR_PATHWAY	GMCSF_PATHWAY	5.0	18 47 117 270 291
AURORA_B_PATHWAY	FANCONI_PATHWAY	5.0	19 29 39 44 115
IL12_2PATHWAY	NFAT_TFPATHWAY	5.0	18 47 138 175 201
FCER1_PATHWAY	TCR_PATHWAY	5.0	18 47 117 262 291
IL12_2PATHWAY	GMCSF_PATHWAY	5.0	18 47 117 242 270
INTEGRIN2_PATHWAY	UPA_UPAR_PATHWAY	5.0	117 147 191 270 291
CXCR4_PATHWAY	TCR_PATHWAY	5.0	18 20 47 117 270
IL12_2PATHWAY	FCER1_PATHWAY	5.0	18 47 117 206 262
BCR_5PATHWAY	TCR_PATHWAY	5.0	18 114 117 262 270
TCR_PATHWAY	IL4_2PATHWAY	5.0	18 47 114 262 291
