PW1	PW2	Weight	Nodes	Type
PA14_32420	PA14_44490	132.0		1.0
PA14_49170	PA14_32700	115.0		1.0
PA14_32420	PA14_46840	107.0		1.0
PA14_44490	PA14_19120	89.0		1.0
PA14_32420	PA14_42380	80.0		1.0
PA14_32420	PA14_19120	64.0		1.0
PA14_46840	PA14_52980	51.0		1.0
PA14_19120	PA14_30580	50.0		1.0
PA14_32420	PA14_52980	46.0		1.0
PA14_46840	PA14_44490	46.0		1.0
PA14_07820	PA14_41870	38.0		1.0
PA14_49170	PA14_64470	37.0		1.0
PA14_50220	PA14_64470	33.0		1.0
PA14_46840	PA14_66320	32.0		1.0
PA14_32420	PA14_30580	31.0		1.0
PA14_64470	PA14_32700	30.0		1.0
PA14_32420	PA14_23090	27.0		1.0
PA14_32420	PA14_66320	27.0		1.0
PA14_46840	PA14_19120	25.0		1.0
PA14_42380	PA14_44490	25.0		1.0
PA14_23090	PA14_46840	25.0		1.0
PA14_72390	PA14_42220	25.0		1.0
PA14_52980	PA14_66320	23.0		1.0
PA14_72390	PA14_30580	23.0		1.0
PA14_30580	PA14_42220	23.0		1.0
PA14_50220	PA14_58320	23.0		1.0
PA14_49170	PA14_32420	21.0		1.0
PA14_41870	PA14_32700	20.0		1.0
PA14_44490	PA14_30580	20.0		1.0
PA14_32420	PA14_65280	20.0		1.0
PA14_50220	PA14_42220	20.0		1.0
PA14_50220	PA14_30580	18.0		1.0
PA14_49170	PA14_50220	18.0		1.0
PA14_42220	PA14_58320	18.0		1.0
PA14_32420	PA14_32700	16.0		1.0
PA14_49170	PA14_46840	16.0		1.0
PA14_19120	PA14_42220	14.0		1.0
PA14_41870	PA14_44490	14.0		1.0
PA14_46840	PA14_32700	13.0		1.0
PA14_19120	PA14_58320	13.0		1.0
PA14_19120	PA14_02250	13.0		1.0
PA14_50220	PA14_02250	13.0		1.0
PA14_44490	PA14_52980	13.0		1.0
PA14_50220	PA14_50180	12.0		1.0
PA14_64470	PA14_32420	12.0		1.0
PA14_42380	PA14_46840	12.0		1.0
PA14_50220	PA14_32420	12.0		1.0
PA14_46840	PA14_41870	12.0		1.0
PA14_07820	PA14_32700	12.0		1.0
PA14_44490	PA14_65280	11.0		1.0
PA14_50220	PA14_32700	11.0		1.0
PA14_32420	PA14_41870	10.0		1.0
PA14_46840	PA14_30210	10.0		1.0
PA14_50220	PA14_19120	10.0		1.0
PA14_50220	PA14_42380	10.0		1.0
PA14_32420	PA14_72390	9.0		1.0
PA14_32420	PA14_61840	9.0		1.0
PA14_23090	PA14_30210	8.0		1.0
PA14_32420	PA14_58320	8.0		1.0
PA14_64470	PA14_46840	8.0		1.0
PA14_32420	PA14_07500	8.0		1.0
PA14_32420	PA14_30210	8.0		1.0
PA14_50220	PA14_46840	8.0		1.0
PA14_58320	PA14_02250	8.0		1.0
PA14_30580	PA14_58320	8.0		1.0
PA14_65280	PA14_58320	8.0		1.0
PA14_46840	PA14_65280	8.0		1.0
PA14_64470	PA14_44490	8.0		1.0
PA14_72390	PA14_65280	8.0		1.0
PA14_72390	PA14_19120	7.0		1.0
PA14_49170	PA14_42380	7.0		1.0
PA14_49170	PA14_52980	7.0		1.0
PA14_49170	PA14_44490	7.0		1.0
PA14_42380	PA14_65280	7.0		1.0
PA14_58320	PA14_37710	7.0		1.0
PA14_65280	PA14_37710	7.0		1.0
PA14_64470	PA14_65280	7.0		1.0
PA14_44490	PA14_02250	7.0		1.0
PA14_72390	PA14_58320	7.0		1.0
PA14_72390	PA14_46840	7.0		1.0
PA14_46840	PA14_61840	6.0		1.0
PA14_44490	PA14_58320	6.0		1.0
PA14_30580	PA14_02250	6.0		1.0
PA14_32420	PA14_44370	6.0		1.0
PA14_50220	PA14_72390	6.0		1.0
PA14_32420	PA14_52740	6.0		1.0
PA14_32700	PA14_52980	6.0		1.0
PA14_44490	PA14_06330	6.0		1.0
PA14_46840	PA14_30580	6.0		1.0
PA14_32420	PA14_42220	5.0		1.0
PA14_23090	PA14_44490	5.0		1.0
PA14_42380	PA14_32700	5.0		1.0
PA14_50220	PA14_44490	5.0		1.0
PA14_42380	PA14_19120	5.0		1.0
PA14_44490	PA14_32700	5.0		1.0
PA14_65280	PA14_69470	4.0		1.0
PA14_19120	PA14_66320	4.0		1.0
PA14_58320	PA14_07500	4.0		1.0
PA14_23090	PA14_30580	4.0		1.0
PA14_46840	PA14_44370	4.0		1.0
PA14_46840	PA14_53970	4.0		1.0
PA14_65280	PA14_66320	4.0		1.0
PA14_61840	PA14_66320	4.0		1.0
PA14_19120	PA14_52980	4.0		1.0
PA14_44490	PA14_66320	4.0		1.0
PA14_46840	PA14_41570	3.0		1.0
PA14_44490	PA14_52570	3.0		1.0
PA14_50220	PA14_65280	3.0		1.0
PA14_42380	PA14_50180	3.0		1.0
PA14_42380	PA14_52980	3.0		1.0
PA14_72390	PA14_66320	3.0		1.0
PA14_46840	PA14_07820	3.0		1.0
PA14_41870	PA14_19120	3.0		1.0
PA14_52980	PA14_53970	3.0		1.0
PA14_46840	PA14_42220	3.0		1.0
PA14_64470	PA14_19120	3.0		1.0
PA14_32420	PA14_06330	3.0		1.0
PA14_58320	PA14_52980	3.0		1.0
PA14_42380	PA14_41870	3.0		1.0
PA14_52980	PA14_61840	3.0		1.0
PA14_49170	PA14_41870	3.0		1.0
PA14_44490	PA14_52740	3.0		1.0
PA14_44490	PA14_30210	2.0		1.0
PA14_41870	PA14_13150	2.0		1.0
PA14_49170	PA14_19120	2.0		1.0
PA14_44370	PA14_52980	2.0		1.0
PA14_42220	PA14_02250	2.0		1.0
PA14_65280	PA14_52740	2.0		1.0
PA14_19120	PA14_08370	2.0		1.0
PA14_32420	PA14_37710	2.0		1.0
PA14_72390	PA14_52980	2.0		1.0
PA14_44490	PA14_07500	2.0		1.0
PA14_72390	PA14_23090	2.0		1.0
PA14_32420	PA14_49790	2.0		1.0
PA14_50220	PA14_26590	2.0		1.0
PA14_32700	PA14_65280	2.0		1.0
PA14_44490	PA14_61840	2.0		1.0
PA14_07820	PA14_44490	2.0		1.0
PA14_72390	PA14_30210	2.0		1.0
PA14_46840	PA14_69470	2.0		1.0
PA14_42220	PA14_07500	2.0		1.0
PA14_46840	PA14_12570	2.0		1.0
PA14_44370	PA14_30210	2.0		1.0
PA14_32420	PA14_26590	2.0		1.0
PA14_44490	PA14_08370	2.0		1.0
PA14_65280	PA14_42220	2.0		1.0
PA14_41870	PA14_65280	2.0		1.0
PA14_32420	PA14_12570	2.0		1.0
PA14_44490	PA14_25100	2.0		1.0
PA14_23090	PA14_52980	2.0		1.0
PA14_32700	PA14_19120	2.0		1.0
PA14_32420	PA14_07820	2.0		1.0
PA14_32420	PA14_44490	107.0		-1.0
PA14_32420	PA14_19120	88.0		-1.0
PA14_32420	PA14_46840	77.0		-1.0
PA14_46840	PA14_44490	72.0		-1.0
PA14_32420	PA14_42380	55.0		-1.0
PA14_49170	PA14_32420	34.0		-1.0
PA14_32420	PA14_32700	32.0		-1.0
PA14_32420	PA14_65280	31.0		-1.0
PA14_32420	PA14_30580	30.0		-1.0
PA14_49170	PA14_46840	29.0		-1.0
PA14_46840	PA14_32700	28.0		-1.0
PA14_32420	PA14_41870	25.0		-1.0
PA14_49170	PA14_44490	25.0		-1.0
PA14_50220	PA14_32420	24.0		-1.0
PA14_46840	PA14_19120	22.0		-1.0
PA14_44490	PA14_32700	21.0		-1.0
PA14_64470	PA14_32420	21.0		-1.0
PA14_42380	PA14_46840	20.0		-1.0
PA14_72390	PA14_44490	20.0		-1.0
PA14_49170	PA14_42380	18.0		-1.0
PA14_64470	PA14_44490	18.0		-1.0
PA14_32420	PA14_58320	17.0		-1.0
PA14_42380	PA14_32700	16.0		-1.0
PA14_64470	PA14_46840	16.0		-1.0
PA14_42380	PA14_44490	16.0		-1.0
PA14_32420	PA14_72390	16.0		-1.0
PA14_50220	PA14_44490	16.0		-1.0
PA14_46840	PA14_58320	15.0		-1.0
PA14_44490	PA14_19120	15.0		-1.0
PA14_44490	PA14_30580	15.0		-1.0
PA14_72390	PA14_46840	15.0		-1.0
PA14_32420	PA14_52980	13.0		-1.0
PA14_46840	PA14_65280	13.0		-1.0
PA14_46840	PA14_66320	12.0		-1.0
PA14_46840	PA14_41870	12.0		-1.0
PA14_50220	PA14_46840	12.0		-1.0
PA14_72390	PA14_19120	11.0		-1.0
PA14_41870	PA14_65280	11.0		-1.0
PA14_32420	PA14_30210	11.0		-1.0
PA14_41870	PA14_52980	11.0		-1.0
PA14_46840	PA14_52980	10.0		-1.0
PA14_32420	PA14_23090	10.0		-1.0
PA14_19120	PA14_30580	10.0		-1.0
PA14_46840	PA14_44370	10.0		-1.0
PA14_46840	PA14_52570	9.0		-1.0
PA14_65280	PA14_19120	9.0		-1.0
PA14_32420	PA14_07820	9.0		-1.0
PA14_32420	PA14_66320	9.0		-1.0
PA14_44490	PA14_68250	8.0		-1.0
PA14_41870	PA14_66320	8.0		-1.0
PA14_49170	PA14_30210	8.0		-1.0
PA14_42380	PA14_52980	8.0		-1.0
PA14_32700	PA14_30210	8.0		-1.0
PA14_50220	PA14_30210	8.0		-1.0
PA14_32420	PA14_37710	8.0		-1.0
PA14_44490	PA14_58320	8.0		-1.0
PA14_41870	PA14_44490	7.0		-1.0
PA14_49170	PA14_19120	7.0		-1.0
PA14_44490	PA14_52980	7.0		-1.0
PA14_46840	PA14_37710	7.0		-1.0
PA14_65280	PA14_30580	7.0		-1.0
PA14_30580	PA14_58320	7.0		-1.0
PA14_19120	PA14_30210	7.0		-1.0
PA14_32420	PA14_52570	7.0		-1.0
PA14_58320	PA14_52980	7.0		-1.0
PA14_42380	PA14_19120	7.0		-1.0
PA14_44490	PA14_42220	7.0		-1.0
PA14_42380	PA14_66320	6.0		-1.0
PA14_46840	PA14_07820	6.0		-1.0
PA14_46840	PA14_68250	6.0		-1.0
PA14_32700	PA14_19120	6.0		-1.0
PA14_32420	PA14_06330	6.0		-1.0
PA14_42380	PA14_23090	6.0		-1.0
PA14_46840	PA14_30210	6.0		-1.0
PA14_64470	PA14_42380	6.0		-1.0
PA14_30580	PA14_42220	6.0		-1.0
PA14_50220	PA14_19120	6.0		-1.0
PA14_44490	PA14_66320	6.0		-1.0
PA14_41870	PA14_19120	5.0		-1.0
PA14_72390	PA14_30580	5.0		-1.0
PA14_49170	PA14_32700	5.0		-1.0
PA14_32420	PA14_44370	5.0		-1.0
PA14_65280	PA14_52980	5.0		-1.0
PA14_49170	PA14_41870	5.0		-1.0
PA14_07820	PA14_52980	5.0		-1.0
PA14_50220	PA14_72390	5.0		-1.0
PA14_19120	PA14_44370	5.0		-1.0
PA14_44490	PA14_44370	5.0		-1.0
PA14_32420	PA14_53970	5.0		-1.0
PA14_44490	PA14_65280	5.0		-1.0
PA14_32420	PA14_42220	5.0		-1.0
PA14_49170	PA14_23090	5.0		-1.0
PA14_49170	PA14_30580	4.0		-1.0
PA14_72390	PA14_52980	4.0		-1.0
PA14_49170	PA14_07820	4.0		-1.0
PA14_32700	PA14_30580	4.0		-1.0
PA14_46840	PA14_30580	4.0		-1.0
PA14_42380	PA14_30210	4.0		-1.0
PA14_46840	PA14_25100	4.0		-1.0
PA14_07820	PA14_65280	4.0		-1.0
PA14_41870	PA14_30210	4.0		-1.0
PA14_23090	PA14_46840	4.0		-1.0
PA14_23090	PA14_52980	4.0		-1.0
PA14_23090	PA14_44490	4.0		-1.0
PA14_64470	PA14_32700	4.0		-1.0
PA14_52980	PA14_12570	4.0		-1.0
PA14_50220	PA14_30580	4.0		-1.0
PA14_46840	PA14_02250	4.0		-1.0
PA14_49170	PA14_65280	4.0		-1.0
PA14_64470	PA14_30210	4.0		-1.0
PA14_72390	PA14_41870	4.0		-1.0
PA14_64470	PA14_58320	4.0		-1.0
PA14_32700	PA14_65280	4.0		-1.0
PA14_50220	PA14_58320	4.0		-1.0
PA14_32420	PA14_68250	4.0		-1.0
PA14_44490	PA14_30210	4.0		-1.0
PA14_46840	PA14_61840	4.0		-1.0
PA14_50220	PA14_65280	4.0		-1.0
PA14_66320	PA14_12570	3.0		-1.0
PA14_46840	PA14_53970	3.0		-1.0
PA14_32700	PA14_52980	3.0		-1.0
PA14_64470	PA14_72390	3.0		-1.0
PA14_58320	PA14_66320	3.0		-1.0
PA14_42380	PA14_72390	3.0		-1.0
PA14_32420	PA14_69980	3.0		-1.0
PA14_32420	PA14_12570	3.0		-1.0
PA14_52980	PA14_30210	3.0		-1.0
PA14_64470	PA14_52980	3.0		-1.0
PA14_46840	PA14_06330	3.0		-1.0
PA14_41870	PA14_32700	3.0		-1.0
PA14_52980	PA14_53970	3.0		-1.0
PA14_49170	PA14_72390	3.0		-1.0
PA14_32420	PA14_61840	3.0		-1.0
PA14_52980	PA14_37710	3.0		-1.0
PA14_42380	PA14_58320	3.0		-1.0
PA14_23090	PA14_32700	3.0		-1.0
PA14_30210	PA14_66320	3.0		-1.0
PA14_49170	PA14_64470	3.0		-1.0
PA14_32420	PA14_26590	3.0		-1.0
PA14_30580	PA14_30210	3.0		-1.0
PA14_44490	PA14_49180	2.0		-1.0
PA14_32700	PA14_66320	2.0		-1.0
PA14_07820	PA14_30210	2.0		-1.0
PA14_50220	PA14_42380	2.0		-1.0
PA14_32420	PA14_49790	2.0		-1.0
PA14_44490	PA14_26590	2.0		-1.0
PA14_07820	PA14_52570	2.0		-1.0
PA14_32420	PA14_07500	2.0		-1.0
PA14_42380	PA14_52570	2.0		-1.0
PA14_44370	PA14_52570	2.0		-1.0
PA14_42380	PA14_26590	2.0		-1.0
PA14_64470	PA14_41870	2.0		-1.0
PA14_65280	PA14_52740	2.0		-1.0
PA14_41870	PA14_58320	2.0		-1.0
PA14_49170	PA14_66320	2.0		-1.0
PA14_58320	PA14_52570	2.0		-1.0
PA14_52980	PA14_06330	2.0		-1.0
PA14_50220	PA14_52980	2.0		-1.0
PA14_50220	PA14_41870	2.0		-1.0
PA14_07820	PA14_66320	2.0		-1.0
PA14_19120	PA14_52980	2.0		-1.0
PA14_41870	PA14_52570	2.0		-1.0
PA14_44490	PA14_07500	2.0		-1.0
PA14_44490	PA14_40030	2.0		-1.0
PA14_23090	PA14_37710	2.0		-1.0
PA14_32420	PA14_25100	2.0		-1.0
PA14_46840	PA14_42220	2.0		-1.0
PA14_72390	PA14_66320	2.0		-1.0
PA14_72390	PA14_32700	2.0		-1.0
PA14_46840	PA14_13150	2.0		-1.0
PA14_44490	PA14_41570	2.0		-1.0
PA14_42380	PA14_41870	2.0		-1.0
PA14_19120	PA14_07500	2.0		-1.0
PA14_23090	PA14_58320	2.0		-1.0
PA14_72390	PA14_65280	2.0		-1.0
PA14_66320	PA14_52570	2.0		-1.0
PA14_65280	PA14_42220	2.0		-1.0
PA14_65280	PA14_06330	2.0		-1.0
PA14_42380	PA14_07820	2.0		-1.0
PA14_23090	PA14_52570	2.0		-1.0
PA14_19120	PA14_61840	2.0		-1.0
PA14_50220	PA14_66320	2.0		-1.0
PA14_64470	PA14_52570	2.0		-1.0
PA14_66320	PA14_53970	2.0		-1.0
PA14_65280	PA14_52570	2.0		-1.0
PA14_42380	PA14_42220	2.0		-1.0
PA14_46840	PA14_07500	2.0		-1.0
PA14_07820	PA14_32700	2.0		-1.0
PA14_32420	PA14_08370	2.0		-1.0
PA14_07820	PA14_44490	2.0		-1.0
PA14_46840	PA14_12570	2.0		-1.0
PA14_49170	PA14_52980	2.0		-1.0
PA14_23090	PA14_65280	2.0		-1.0
PA14_32420	PA14_49180	2.0		-1.0
PA14_32420	PA14_41570	2.0		-1.0
PA14_46840	PA14_69470	2.0		-1.0
PA14_44490	PA14_06330	2.0		-1.0
